2, Sweet, Tasting, Tomato
7, Tasting, Surprise, Consistent
7, AmericanFood, Tasting, Tomato
9, Sweet, Circular, Tasting
6, Circular, Salty, Aroma
9, Spicy, Sweet, Aroma
10, Fish, Spicy, Seasoned
10, Sweet, Meat, Light
7, AmericanFood, Sweet, Strong
7, Light, AmericanFood, Fish
7, Refined, Seasoned, Spicy
10, Seasoned, Meat, Spicy
10, Seasoned, Sweet, Italian
6, Refined, Salty, Light
10, Fish, Asian, AmericanFood
8, Light, Seasoned, Spicy
6, Consistent, Fish, Circular
6, Seasoned, Surprise, Aroma
7, Sweet, Consistent, Spicy
6, Italian, Strong, Spicy
8, Meat, Seasoned, Flavor
8, Salty, Fish, Spicy
6, Italian, Spicy, Sweet
8, Fish, Light, Spicy
7, Aroma, Tasting, Surprise
5, Sweet, Light, Circular
5, Strong, Spicy, Tasting
9, Spicy, Spicy, Aroma
5, AmericanFood, Sweet, Seasoned
5, Aroma, Light, Refined
5, AmericanFood, Surprise, Spicy
6, AmericanFood, Surprise, Refined
10, Meat, Aroma, Surprise
9, Italian, Salty, Surprise
5, Salty, Refined, Sweet
10, Strong, Tomato, Sweet
9, Tasting, Salty, Spicy
5, Sweet, Spicy, Spicy
7, Spicy, Circular, Sweet
9, Italian, Seasoned, Spicy
7, Light, Aroma, Consistent
10, Consistent, Refined, Circular
10, Refined, AmericanFood, Meat
5, Asian, Sweet, Spicy
5, Italian, Spicy, Sweet
8, Spicy, Fish, Italian
6, AmericanFood, Spicy, Fish
5, Consistent, Aroma, AmericanFood
7, Flavor, Light, Tomato
6, Meat, Refined, Asian
9, Meat, Seasoned, Strong
10, Seasoned, Strong, Light
5, AmericanFood, Tasting, Sweet
8, Meat, Seasoned, Circular
10, Spicy, Seasoned, Consistent
9, Strong, Spicy, Surprise
6, Refined, Sweet, AmericanFood
9, Spicy, Seasoned, Strong
6, Consistent, AmericanFood, Flavor
6, Meat, Circular, Surprise
8, AmericanFood, Tasting, Savory
9, Strong, Sweet, Tomato
8, Refined, Surprise, Tomato
10, Sweet, Seasoned, Tasting
6, Sweet, Tomato, Consistent
10, Spicy, AmericanFood, Sweet
8, Tasting, Fish, Salty
10, Spicy, Surprise, Sweet
6, Spicy, Sweet, Spicy
5, Asian, Sweet, Surprise
10, Consistent, Fish, Seasoned
10, Spicy, Tasting, Spicy
5, Soft, Light, Strong
6, Surprise, Spicy, Strong
10, Circular, Tomato, Refined
10, Surprise, Consistent, Spicy
7, Asian, Tomato, Circular
6, Strong, Fish, Light
8, Aroma, Salty, Seasoned
9, Tomato, AmericanFood, Flyer
10, AmericanFood, Aroma, Light
8, Sweet, Tasting, Spicy
8, Meat, Asian, Flavor
5, Meat, Surprise, Consistent
5, Circular, AmericanFood, Sweet
6, Italian, Seasoned, Surprise
7, Refined, Spicy, Meat
5, Flavor, Meat, Fish
8, Spicy, Tasting, Seasoned
8, Light, Meat, Tomato
7, Italian, Refined, Circular
5, Light, Seasoned, Italian
10, Spicy, AmericanFood, Flavor
8, Refined, Salty, Meat
8, Sweet, Refined, Spicy
10, Tasting, Meat, Asian
5, Italian, Salty, Seasoned
8, Refined, Spicy, Fish
5, AmericanFood, Salty, Italian
6, Asian, Italian, Fish
9, Surprise, Italian, AmericanFood
7, Fish, Asian, Italian
8, Consistent, Seasoned, Asian
10, Spicy, Fish, Seasoned
5, Italian, Sweet, Consistent
5, Meat, Fish, Consistent
6, Italian, Consistent, Light
9, Aroma, Light, Seasoned
8, Asian, Spicy, Refined
5, Salty, Sweet, Refined
5, Seasoned, Circular, Consistent
9, Strong, Meat, Light
8, Light, Tomato, Sweet
6, AmericanFood, Refined, Italian
8, Meat, Aroma, Sweet
8, Salty, Light, Tasting
5, Sweet, Aroma, Tomato
5, Flavor, Tomato, Italian
6, Strong, Asian, Tasting
6, Light, Italian, Sweet
6, Surprise, Italian, Spicy
7, Hot, Spicy, Seasoned
7, Spicy, Aroma, Fish
6, Tomato, Refined, Meat
10, Strong, Circular, Seasoned
8, Fish, Spicy, Flavor
6, Surprise, Sweet, Salty
7, Strong, Sweet, AmericanFood
5, Strong, Sweet, Consistent
9, Sweet, Circular, Aroma
9, Asian, Tasting, Spicy
10, Consistent, Sweet, Tasting
8, Fish, Italian, Asian
8, Spicy, Salty, AmericanFood
6, Sweet, Surprise, Salty
5, Seasoned, Spicy, AmericanFood
8, Sweet, Circular, Spicy
7, Refined, Spicy, Circular
9, Refined, Sweet, Strong
10, Italian, Meat, Surprise
7, Spicy, Strong, Consistent
5, Consistent, Surprise, Circular
6, Spicy, Asian, Circular
6, Sweet, Consistent, AmericanFood
8, Tomato, Sweet, Fish
7, Fish, Spicy, Seasoned
6, Seasoned, Sweet, Refined
10, Sweet, Refined, Tasting
8, Fish, Light, Spicy
8, Tasting, Refined, Spicy
10, AmericanFood, Italian, Strong
9, Sweet, Sweet, AmericanFood
9, Meat, Spicy, Refined
5, Surprise, Asian, Aroma
10, Seasoned, Spicy, Refined
9, Spicy, Consistent, Sweet
6, Meat, Light, Refined
8, Asian, Pungent, Circular
9, Sweet, Salty, Italian
5, Spicy, Sweet, Circular
5, Light, Spicy, Aroma
9, Refined, Sweet, AmericanFood
8, Italian, Light, Aroma
6, Refined, Consistent, Tomato
10, Consistent, AmericanFood, Asian
9, Tomato, Italian, Sweet
9, Strong, Spicy, Italian
9, Strong, Fish, Aroma
8, Tasting, Seasoned, Surprise
9, Strong, Asian, Meat
6, Sweet, Surprise, Light
7, Refined, Spicy, Sweet
5, Refined, Fish, Spicy
10, Seasoned, Circular, Tomato
9, Sweet, Asian, Fish
7, Spicy, Aroma, Tasting
9, Tomato, Strong, Meat
6, Salty, Aroma, Refined
6, Meat, Light, Fish
5, Italian, Tasting, Savory
7, Strong, Tomato, Spicy
5, Spicy, Meat, Salty
8, Spicy, Strong, AmericanFood
6, Circular, Aroma, Spicy
7, Seasoned, Fish, Tasting
8, Salty, Spicy, Meat
6, Seasoned, Spicy, Surprise
9, Surprise, Tomato, Refined
8, Sweet, Sweet, Spicy
6, Spicy, Aroma, Consistent
6, Sweet, Italian, Sweet
6, Meat, Light, Refined
5, Italian, Sweet, Refined
10, Salty, Meat, Sweet
9, Pungent, Consistent, Spicy
8, Spicy, Tomato, Seasoned
6, Seasoned, Tomato, Spicy
6, Surprise, Asian, Tasting
9, Spicy, Tomato, Spicy
5, Spicy, Sweet, Light
8, Circular, Aroma, Sweet
7, Refined, Tasting, Aroma
9, Spicy, Strong, Tomato
9, Flavor, Fish, Salty
5, Tasting, AmericanFood, Fish
6, Tomato, Meat, Salted
5, Refined, Italian, Savory
5, Spicy, Surprise, Tasting
9, Seasoned, Circular, AmericanFood
8, Salty, Italian, Spicy
9, Fish, Aroma, Surprise
6, Tasting, Spicy, Asian
6, Surprise, AmericanFood, Light
8, Meat, Refined, Sweet
6, AmericanFood, Tasting, Strong
10, Meat, Asian, Refined
7, Spicy, Salty, Light
8, Salty, Fish, Sweet
7, Surprise, Salty, Italian
9, Sweet, Spicy, Fish
10, Spicy, Spicy, Salty
10, Meat, Asian, AmericanFood
5, Fish, Tomato, Spicy
7, Spicy, Seasoned, Strong
7, Consistent, Seasoned, Sweet
7, Asian, Seasoned, Refined
5, Meat, Spicy, Tasting
10, Tasting, Meat, Tomato
7, Refined, Surprise, Seasoned
10, Light, Tomato, Sweet
8, Fish, Sweet, Light
8, Circular, Refined, Salty
10, Seasoned, Tomato, Circular
9, Consistent, Meat, Tasting
8, Spicy, Consistent, Circular
10, Refined, Asian, AmericanFood
9, Surprise, Tomato, Spicy
9, Sweet, Spicy, Pungent
10, Sweet, Spicy, Italian
8, Refined, Light, Fish
9, Circular, Spicy, Asian
5, Asian, Strong, Light
9, Salty, Strong, Spicy
5, Surprise, Tasting, Sweet
7, Spicy, Asian, AmericanFood
6, Meat, Refined, Consistent
9, Refined, Circular, Asian
10, Fish, Strong, Seasoned
7, Tasting, Spicy, AmericanFood
7, Strong, Spicy, Italian
9, Seasoned, Circular, Spicy
8, Light, Spicy, Spicy
8, Spicy, Consistent, Surprise
9, Light, Salty, Aroma
6, Strong, Aroma, Circular
5, Circular, Light, Seasoned
5, Fish, Spicy, Tasting
8, AmericanFood, Seasoned, Surprise
10, Salty, Tasting, Meat
8, Meat, Tasting, Strong
6, Salty, Tomato, Spicy
9, Sweet, Light, Tomato
6, Seasoned, Asian, Strong
6, Spicy, Meat, Circular
7, Tasting, Meat, Consistent
8, Consistent, Spicy, Tomato
5, Spicy, Asian, Meat
9, Circular, Sweet, Italian
9, Salty, Consistent, AmericanFood
6, Tasting, Sweet, Tomato
8, Spicy, Italian, Strong
5, Italian, Tomato, Flavor
8, AmericanFood, Sweet, Seasoned
10, Spicy, Spicy, Fish
8, Asian, Salty, Spicy
9, Spicy, Salty, Tasting
10, Meat, Aroma, Sweet
8, Fish, Asian, Spicy
5, Strong, Aroma, AmericanFood
10, Italian, Surprise, Meat
10, Salty, Spicy, Fish
8, Light, Tomato, Circular
7, Italian, Strong, Seasoned
6, Salty, Spicy, Surprise
10, Tomato, Circular, Seasoned
6, Sweet, Strong, Meat
6, Refined, AmericanFood, Circular
9, Refined, Meat, Salted
7, Circular, Meat, Consistent
10, Surprise, Light, Salty
8, Asian, Aroma, Salty
8, Aroma, Pungent, Asian
9, Refined, AmericanFood, Meat
7, Lightweight, Circular, Asian
10, Circular, Salty, Aroma
9, Spicy, Circular, Seasoned
5, Spicy, AmericanFood, Circular
5, Spicy, AmericanFood, Salty
10, AmericanFood, Consistent, Salty
10, Seasoned, Refined, Spicy
6, Salty, AmericanFood, Fish
8, Surprise, Refined, Seasoned
9, Asian, Fish, Light
5, Refined, Tasting, Spicy
5, Fish, Consistent, Italian
9, Aroma, Sweet, Tasting
6, AmericanFood, Light, Consistent
6, Light, Asian, Sweet
8, Tasting, Surprise, Italian
7, Light, Spicy, Meat
6, Meat, Consistent, Spicy
9, Aroma, Strong, Fish
5, Spicy, AmericanFood, Light
7, Spicy, Sweet, Sweet
5, Circular, Consistent, Aroma
7, Tomato, Italian, Flavor
5, Meat, AmericanFood, Seasoned
9, Consistent, Tasting, Seasoned
8, Spicy, Fish, Salty
8, Spicy, Asian, Tomato
8, Circular, Sweet, AmericanFood
5, Sweet, Salty, Circular
9, Consistent, Asian, Tasting
7, Sweet, Spicy, Asian
6, Spicy, Salty, Circular
6, Tomato, Light, Flavor
5, Sweet, Spicy, Tomato
7, Spicy, Refined, Salty
9, Italian, Salty, Spicy
10, Salty, Surprise, Aroma
9, Meat, Sweet, Surprise
9, Fish, Surprise, Sweet
8, Sweet, Asian, Spicy
7, Aroma, Surprise, Light
6, Spicy, Sweet, Aroma
8, Strong, Seasoned, Spicy
7, Asian, Meat, Spicy
10, Fish, Consistent, Tasting
9, Tomato, Sweet, Fish
9, Fish, Spicy, Circular
7, Tasting, Fish, Sweet
9, Tasting, Salty, Spicy
8, Surprise, Sweet, Consistent
5, Seasoned, Aroma, Circular
9, Seasoned, Spicy, Spicy
6, Aroma, Spicy, AmericanFood
10, Spicy, Salty, Fish
9, Italian, Spicy, Tasting
10, Italian, Asian, Circular
8, Spicy, Strong, Salty
10, Sweet, Strong, Tasting
10, AmericanFood, Light, Tomato
8, Sweet, Seasoned, Italian
5, Consistent, Spicy, Italian
7, Salty, Tomato, Asian
8, Tomato, Spicy, Light
8, AmericanFood, Light, Spicy
10, Refined, Fish, Circular
10, Surprise, Italian, Circular
7, Light, Meat, Salty
5, Strong, Spicy, Asian
9, Spicy, Consistent, Sweet
8, Italian, Fish, Asian
5, Strong, Asian, Spicy
9, Tasting, Tomato, Salted
8, Sweet, Spicy, AmericanFood
8, Circular, Refined, Consistent
6, Fish, Consistent, Spicy
10, Tomato, Tasting, Italian
8, Asian, Spicy, Tomato
10, AmericanFood, Meat, Fish
10, Spicy, Light, Tasting
10, Light, Salty, Sweet
10, Sweet, Meat, Tomato
10, Consistent, AmericanFood, Refined
5, Italian, Refined, Asian
8, Refined, Spicy, Spicy
6, Tasting, Salty, Sweet
8, Strong, Tomato, Fish
9, Asian, Circular, Aroma
5, Surprise, Spicy, Salty
6, Italian, Tasting, Sweet
8, Refined, Soft, Light
9, Asian, Spicy, Tomato
10, Refined, Circular, Spicy
6, Italian, Consistent, Tomato
8, Seasoned, Strong, Spicy
9, Spicy, AmericanFood, Strong
5, Refined, Meat, Spicy
5, Spicy, Fish, Sweet
5, Sweet, Tasting, Spicy
7, Aroma, Sweet, Tasting
7, Salty, Aroma, Tasting
5, Circular, Sweet, AmericanFood
9, Italian, Sweet, Seasoned
5, Seasoned, Sweet, Salty
9, Tasting, Seasoned, Surprise
5, Strong, Fish, Italian
7, Asian, Salty, Italian
6, Aroma, Strong, Tomato
7, Surprise, Fish, Tomato
7, Strong, Sweet, Asian
5, Spicy, Aroma, Pungent
5, Aroma, Strong, Salty
5, Spicy, Italian, Refined
7, Refined, Spicy, Consistent
5, Tasting, Sweet, Asian
8, Consistent, Fish, Meat
7, Circular, Strong, Fish
5, Salty, Fish, Spicy
8, Sweet, Meat, Tomato
9, Spicy, Seasoned, Spicy
5, Spicy, Seasoned, Asian
5, Light, Strong, Asian
8, Tomato, Light, Salty
10, Asian, Strong, Spicy
7, AmericanFood, Surprise, Spicy
7, Salty, Sweet, Tomato
7, AmericanFood, Spicy, Light
10, Fish, Refined, Asian
6, Sweet, Strong, Spicy
9, Salty, Light, Fish
6, Sweet, Refined, Sweet
5, Italian, Tomato, Asian
7, Surprise, Strong, Salty
5, Sweet, Tomato, Consistent
10, Surprise, Spicy, Refined
7, Fish, Spicy, Sweet
10, Sweet, Meat, Italian
7, Strong, AmericanFood, Meat
8, Sweet, Strong, Seasoned
6, Aroma, Circular, Spicy
6, Sweet, Strong, Spicy
5, Consistent, Spicy, Aroma
8, Spicy, Salty, Light
8, Tasting, AmericanFood, Italian
6, Asian, Sweet, Salty
7, Light, Asian, Sweet
6, Seasoned, Light, Circular
7, Circular, Sweet, Asian
8, Salty, Fish, Tasting
5, Strong, Aroma, Sweet
7, Sweet, Tomato, Fish
6, Sweet, Circular, Tasting
8, Strong, Consistent, AmericanFood
10, Tomato, Surprise, Meat
7, Spicy, Refined, Light
7, Salty, Sweet, Spicy
5, Spicy, Strong, Sweet
9, Refined, Strong, Spicy
7, Meat, Tomato, Surprise
10, Meat, AmericanFood, Fish
7, Asian, Consistent, Circular
8, Sweet, Italian, Meat
5, Sweet, Consistent, AmericanFood
10, Spicy, Sweet, AmericanFood
7, Salty, Italian, Light
7, Circular, Aroma, Tomato
7, Consistent, Surprise, Salty
9, AmericanFood, Tomato, Asian
8, Tomato, Seasoned, Spicy
5, Aroma, Sweet, Spicy
7, Italian, Tomato, Circular
7, Spicy, Sweet, AmericanFood
7, Sweet, Circular, Spicy
6, Sweet, Refined, Salty
7, Sweet, Light, Italian
7, Spicy, Surprise, AmericanFood
6, Spicy, Sweet, AmericanFood
9, Surprise, Sweet, Italian
5, Meat, Consistent, Tomato
5, Refined, Meat, Asian
5, Sweet, Fish, Light
7, Spicy, Consistent, Salty
5, Sweet, Seasoned, Meat
10, Consistent, Tasting, AmericanFood
10, Consistent, Circular, Spicy
7, Spicy, Italian, Salty
10, AmericanFood, Refined, Circular
9, Consistent, Refined, Spicy
7, Salty, Sweet, Aroma
6, Tasting, Sweet, Seasoned
9, Tomato, Refined, Circular
9, Tomato, Light, Sweet
9, Fish, Surprise, Spicy
7, Asian, Circular, Spicy
7, Italian, Consistent, Circular
5, Tomato, Salted, Seasoned
5, Refined, Spicy, Salty
10, Sweet, Salty, Aroma
6, Strong, Sweet, AmericanFood
8, Seasoned, Strong, Tomato
6, Tasting, AmericanFood, Light
8, Sweet, Spicy, Fish
7, Seasoned, Spicy, Sweet
9, Strong, Consistent, Meat
8, Sweet, AmericanFood, Meat
10, Consistent, Circular, Salty
8, Flavor, Fish, Italian
9, Strong, Asian, Aroma
10, Spicy, Strong, Tomato
5, Tasting, Light, Refined
6, Italian, Spicy, Meat
5, Salty, Italian, AmericanFood
6, Spicy, Aroma, Italian
7, Sweet, Spicy, Tasting
6, Asian, Surprise, Consistent
8, Sweet, Refined, Light
10, Strong, Circular, Asian
9, Spicy, Light, Salty
9, Seasoned, Sweet, Spicy
9, Asian, Surprise, Fish
5, Light, Surprise, Meat
9, Flavor, Meat, AmericanFood
7, Surprise, Refined, Spicy
5, Tasting, Circular, Sweet
6, Seasoned, Spicy, AmericanFood
10, Sweet, Seasoned, Circular
5, Sweet, Fish, Meat
8, Fish, Spicy, Refined
5, AmericanFood, Tasting, Asian
6, Fish, Tasting, Light
9, AmericanFood, Spicy, Italian
10, AmericanFood, Asian, Spicy
5, Tomato, Seasoned, Meat
7, Spicy, Tasting, Sweet
6, Italian, Consistent, Spicy
9, Seasoned, Sweet, Salty
10, Pungent, Sweet, Light
8, Strong, Refined, Consistent
7, Italian, Light, Sweet
7, Circular, Asian, Spicy
7, Consistent, Spicy, Tomato
7, Spicy, Sweet, Tomato
6, Light, Meat, Flavor
7, Asian, Tomato, Flavor
8, Fish, Flavor, Meat
6, Tomato, Consistent, Spicy
5, Surprise, Spicy, AmericanFood
6, Strong, Spicy, Sweet
5, Tasting, Salty, Asian
9, Surprise, Tomato, Meat
9, Sweet, Spicy, Circular
6, Aroma, Italian, Refined
5, Spicy, Seasoned, Surprise
9, Meat, Fish, Spicy
5, Italian, Seasoned, Flavor
5, Italian, Tomato, Asian
5, Spicy, Circular, Tasting
7, Italian, Salty, Spicy
8, Tomato, Seasoned, Italian
9, Tasting, Sweet, Strong
8, Surprise, Aroma, Refined
6, Salty, Circular, Sweet
7, Sweet, Seasoned, Tomato
6, Fish, Light, Surprise
7, Sweet, Aroma, Fish
6, Sweet, Surprise, Fish
